is_shuffled,seed,motif_type,n_branches,n_traces,n_overlap_branches,gSIG_A,gSIG_B,gSIG_E,B1_linking_gain,NR_targeted,NR_generic
True,118,canonical,32,2,1,-0.003644722675431188,nan,4.107207501423464,-0.014502906028986295,3.399178697723811,-0.7080288036996533
True,119,canonical,32,2,1,0.00472564925501614,nan,4.007713361170296,-0.008353172632164008,3.2984178456766484,-0.7092955154936474
False,42,strong_overlap,4,2,1,0.13178822855435446,nan,1.5660339164325214,0.2955284670131792,1.0106535175537643,-0.555380398878757
True,100,strong_overlap,4,2,1,-0.029754804927598633,nan,2.274271559430138,0.15839612637565975,1.8206335853344464,-0.45363797409569145
True,101,strong_overlap,4,2,1,-0.013096055385734995,nan,2.211079388781945,0.1689427550620501,1.740254746953458,-0.4708246418284872
True,102,strong_overlap,4,2,1,0.06427119623499081,nan,1.9162026318618137,0.2164187192250709,1.405144854279352,-0.5110577775824615
True,103,strong_overlap,4,2,1,0.061345522477123965,nan,1.9659744579380534,0.21464423425547735,1.4170766197441826,-0.5488978381938707
True,104,strong_overlap,4,2,1,-0.059887808305295026,nan,2.4386961938461607,0.1348286054625107,2.007353957193958,-0.4313422366522025
True,105,strong_overlap,4,2,1,0.036271362432738125,nan,2.2493238607861294,0.19920861796759098,1.5321061596572452,-0.7172177011288844
True,106,strong_overlap,4,2,1,-0.04487221286903356,nan,2.3934050121616806,0.15028449799738236,1.891412572991651,-0.5019924391700296
True,107,strong_overlap,4,2,1,-0.028244569936482194,nan,2.25770336475112,0.16084005409189345,1.7941231904523998,-0.4635801742987202
True,108,strong_overlap,4,2,1,0.05018623328663718,nan,1.9547007706415989,0.20994929195353457,1.4489547045620585,-0.5057460660795402
True,109,strong_overlap,4,2,1,-0.018295368767502707,nan,2.221283807477997,0.16856828755480652,1.7588731222634277,-0.4624106852145695
True,110,strong_overlap,4,2,1,0.03286784274534013,nan,2.0258899245078577,0.19938656819148565,1.5275579655385065,-0.49833195896935095
True,111,strong_overlap,4,2,1,0.007263684258327824,nan,2.125979636762292,0.1827561172141729,1.6434641494715905,-0.48251548729070154
True,112,strong_overlap,4,2,1,0.022501175027933584,nan,2.317014823254824,0.187948938355125,1.6017114314746312,-0.7153033917801929
True,113,strong_overlap,4,2,1,0.01879280917222559,nan,2.079145131624929,0.18930045034470938,1.5916162510384062,-0.48752888058652283
True,114,strong_overlap,4,2,1,-0.003250559581613577,nan,2.409469986529621,0.17615496788011892,1.6943849395472534,-0.715085046982368
True,115,strong_overlap,4,2,1,-0.05503160638872895,nan,2.3988200781616067,0.14207416229771824,1.9527134785223765,-0.4461065996392303
True,116,strong_overlap,4,2,1,-0.05561868500248959,nan,2.3792498369661854,0.14560984836867624,1.9382828748407248,-0.44096696212546066
True,117,strong_overlap,4,2,1,0.0621281701967811,nan,1.9387716910157815,0.2217831912837605,1.3866223374839617,-0.5521493535318198
True,118,strong_overlap,4,2,1,0.04302962762061199,nan,2.000873068233611,0.20216905531366008,1.5011393957018568,-0.4997336725317545
True,119,strong_overlap,4,2,1,0.09103116784897647,nan,1.8188556983125261,0.235738583773136,1.2939247087142132,-0.524930989598313
False,42,strong_overlap,8,2,1,0.23685859547820448,nan,1.5660966435787285,0.2953859665689256,1.010401470293431,-0.5556951732852975
True,100,strong_overlap,8,2,1,0.011951966850834474,nan,3.268727387914516,0.06527550616599798,2.561635096259425,-0.7070922916550908
True,101,strong_overlap,8,2,1,-0.025860576330391502,nan,3.5762251999689587,0.03571217801712212,2.873475415569243,-0.7027497843997159
True,102,strong_overlap,8,2,1,0.018048789932745106,nan,2.9663421979358597,0.0677409806007474,2.5194067776446305,-0.44693542029122935
True,103,strong_overlap,8,2,1,0.019291467217901148,nan,3.236698484795393,0.0682679022312781,2.530302290216705,-0.7063961945786875
True,104,strong_overlap,8,2,1,-0.019243355314760784,nan,3.5467661700246604,0.039005886103841814,2.831781833437612,-0.7149843365870482
True,105,strong_overlap,8,2,1,0.009643674295634792,nan,3.3172326911663426,0.0592970000038463,2.5995208474005547,-0.7177118437657877
True,106,strong_overlap,8,2,1,0.01807595209071121,nan,2.9103548277727196,0.0671879148175143,2.5379934417944208,-0.3723613859782986
True,107,strong_overlap,8,2,1,0.07078899222513445,nan,2.872006767327456,0.10617980408563166,2.1593615151681815,-0.7126452521592745
True,108,strong_overlap,8,2,1,-0.0018946101470129276,nan,3.392889412130293,0.05033860387644362,2.69144192388459,-0.7014474882457027
True,109,strong_overlap,8,2,1,-0.0035912382154284425,nan,3.4085246727960814,0.049799728310972124,2.703707397676304,-0.7048172751197774
